,count,lat,lon
198,555,31.3094167,-89.3213156
199,554,34.2201,-119.1623283
200,552,38.6656913,-85.1310556
201,552,34.3058991,-88.7094317
202,548,35.6388545,-106.0096657
203,548,31.6168891,-84.2113113
204,530,34.2325522,-77.879178
205,526,32.6987643,-115.4966135
206,524,33.4825602,-80.8692063
207,522,40.2896869,-86.5727055
208,515,37.7543986,-81.2209582
209,508,39.0819408,-84.7236288
210,507,36.6698098,-93.2310963
211,502,42.0521033,-93.6221488
212,482,35.2190355,-111.5724078
213,480,31.1591792,-83.7438762
214,470,42.7292204,-88.9853847
215,464,25.4836249,-80.4596001
216,462,47.712657,-116.9072348
217,454,43.3200037,-73.6144173
218,454,42.4747604,-96.4300163
219,454,42.2668397,-88.9770699
220,450,44.6927797,-73.4870982
221,450,35.839076,-83.5761844
222,448,44.3435092,-69.790515
223,440,39.4495563,-77.3889737
224,440,31.800409,-94.1946095
225,436,44.8293098,-68.7391303
226,436,38.4113681,-82.5248766
227,436,37.0695448,-84.6228683
228,434,39.0394878,-95.7638419
229,434,36.8067956,-119.6808001
230,434,30.2096021,-82.6471854
231,432,40.7747376,-89.6546924
232,432,36.387807,-97.9437438
233,430,32.9152859,-105.9309001
234,428,44.0644562,-122.9824001
235,428,39.1403711,-86.5791106
236,426,32.2052898,-95.823752
237,424,41.9043016,-71.0331774
238,424,36.7889406,-90.4377015
239,422,39.347266,-82.9710996
240,420,42.3414803,-72.6433289
241,420,32.543512,-92.6254187
242,418,39.8084006,-94.8125764
243,417,34.8343314,-87.6240625
244,416,41.9077241,-89.034158
245,416,40.5149653,-88.9474644
246,416,31.3330972,-110.9693031
247,412,42.2662604,-84.4607985
248,410,39.3996,-87.4050702
249,408,40.4767227,-86.104
250,408,37.5157039,-120.846705
251,400,36.6002943,-82.1895695
252,398,39.7531247,-89.7105154
253,396,38.0728542,-78.8948769
254,396,37.7204065,-87.1221291
255,396,36.1244898,-97.0489045
256,396,30.8253699,-83.320593
257,392,41.3594406,-89.3291452
258,392,31.3728762,-94.7184992
259,391,44.5261502,-88.0906427
260,388,39.0181999,-96.8606938
261,386,46.1194889,-122.930789
262,386,38.3227022,-81.7107606
263,386,33.4455264,-88.8523901
264,385,35.6662036,-88.8523365
265,384,43.8699996,-91.2153848
266,384,37.0670176,-100.9160503
267,384,29.683138,-91.266854
268,382,34.669752,-86.0087613
269,382,32.2080623,-98.2362995
270,380,42.258305,-85.1790497
271,380,39.8997979,-88.9504272
272,376,36.9027436,-94.8775327
273,374,37.9826975,-87.4714172
274,374,31.2318778,-81.498642
275,372,42.2111161,-85.9173911
276,370,42.0962002,-76.0145945
277,370,39.7254038,-90.1823151
278,370,35.4630935,-79.1048095
279,368,39.08256,-108.5826871
280,366,43.5730057,-84.7576061
281,366,41.5969907,-93.7145681
282,365,33.1297445,-117.0626521
283,364,46.8659966,-96.8666329
284,364,37.321651,-121.9726932
285,360,25.9746945,-97.5203
286,358,39.1943412,-75.5536995
287,356,37.9876847,-100.8815956
288,356,29.1721015,-81.0297735
289,354,33.8768148,-98.5432112
290,352,31.2679507,-85.4428054
291,350,42.8504,-106.2645721
292,348,47.141937,-119.2750454
293,348,40.8591413,-96.6812647
294,348,40.834824,-77.808393
295,348,37.7397966,-88.9667809
296,348,33.4523606,-104.5268762
297,348,26.6492486,-81.9847655
298,346,44.7281313,-85.6319582
299,342,40.9335995,-98.3862913
300,340,47.5175153,-111.3197704
301,340,43.9768288,-75.9576465
302,340,37.8717326,-84.5664847
303,338,44.0289426,-88.1461378
304,338,37.073096,-88.6896443
